CNPJ;RazaoSocial;Trimestre;Ano;ValorDespesas;CNPJ_Valido;RegistroANS;Modalidade;UF
00006037000127;UNIMED DE TATUI - COOPERATIVA DE TRABALHO MÉDICO;1T;2025;5566324.00;True;361941;Cooperativa Médica;SP
00006037000127;UNIMED DE TATUI - COOPERATIVA DE TRABALHO MÉDICO;2T;2025;116910.00;True;361941;Cooperativa Médica;SP
00006037000127;UNIMED DE TATUI - COOPERATIVA DE TRABALHO MÉDICO;3T;2025;341904.00;True;361941;Cooperativa Médica;SP
00012698000165;UNIMED DE PENAPOLIS - COOPERATIVA DE TRABALHO MEDICO;1T;2025;4563356.00;True;323004;Cooperativa Médica;SP
00012698000165;UNIMED DE PENAPOLIS - COOPERATIVA DE TRABALHO MEDICO;2T;2025;771494.00;True;323004;Cooperativa Médica;SP
00012698000165;UNIMED DE PENAPOLIS - COOPERATIVA DE TRABALHO MEDICO;3T;2025;486389.00;True;323004;Cooperativa Médica;SP
00034259000153;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE DA BAIXADA SANTISTA;1T;2025;1377966.00;True;410110;Autogestão;SP
00034259000153;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE DA BAIXADA SANTISTA;2T;2025;9625.00;True;410110;Autogestão;SP
00034259000153;ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE DA BAIXADA SANTISTA;3T;2025;362914.00;True;410110;Autogestão;SP
000477;Operadora 000477;1T;2025;32789.00;False;N/D;Desconhecida;N/D
00103956000119;UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;1T;2025;670331.00;True;300136;Cooperativa Médica;RS
00103956000119;UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;2T;2025;7092134.00;True;300136;Cooperativa Médica;RS
00103956000119;UNIMED LITORAL SUL/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;3T;2025;33842712.00;True;300136;Cooperativa Médica;RS
